timestamp;device;l1_n_v;l2_n_v;l3_n_v;l1_l2_v;l2_l3_v;l3_l1_v;l1_a;l2_a;l3_a;pot_aparente_va;pot_activa_w;pot_reactiva_var;freq_hz;fp_total;energ_activa_wh;energ_reactiva_varh;energ_aparente_vah
2026-01-01 00:00:00;PAC3200-3;251.49;251.49;254.03;435.6;435.6;440;0;0;0;0;0;0;60.1;0;45301823.7;0;0
2026-01-01 00:15:00;PAC3200-3;251.49;254.03;254.03;435.6;440;440;34.03;35.46;35.46;32137.19;18071.07;26575.1;60.1;0.56;45301823.7;0;0
2026-01-01 00:30:00;PAC3200-3;251.49;251.49;254.03;435.6;435.6;440;29.37;28.78;28.48;26436.29;14865.39;21860.87;60.1;0.56;45319894.76;26575.1;32137.19
2026-01-01 00:45:00;PAC3200-3;254.03;254.03;254.03;440;440;440;32.3;32.98;31.97;29875.01;16799.02;24704.44;60.1;0.56;45334760.15;48435.97;58573.49
2026-01-01 01:00:00;PAC3200-3;254.03;251.49;254.03;440;435.6;440;32.99;32.65;33.33;30303.28;17039.84;25058.59;60.1;0.56;45351559.17;73140.41;88448.5
2026-01-01 01:15:00;PAC3200-3;251.49;254.03;254.03;435.6;440;440;34.4;35.11;34.75;31920.96;17949.48;26396.29;60.1;0.56;45368599.01;98198.99;118751.78
2026-01-01 01:30:00;PAC3200-3;251.49;254.03;251.49;435.6;440;435.6;25.43;24.41;24.92;22811.15;12826.94;18863.14;60.1;0.56;45386548.49;124595.28;150672.74
2026-01-01 01:45:00;PAC3200-3;254.03;251.49;254.03;440;435.6;440;30.22;31.17;30.85;28239.54;15879.38;23352.02;60.1;0.56;45399375.43;143458.43;173483.89
2026-01-01 02:00:00;PAC3200-3;251.49;254.03;251.49;435.6;440;435.6;34.4;33.69;33.69;31054.93;17462.5;25680.15;60.1;0.56;45415254.8;166810.45;201723.43
2026-01-01 02:15:00;PAC3200-3;254.03;251.49;251.49;440;435.6;435.6;31.52;30.88;30.88;28469.56;16008.72;23542.23;60.1;0.56;45432717.3;192490.6;232778.36
2026-01-01 02:30:00;PAC3200-3;254.03;254.03;254.03;440;440;440;27.66;27.09;27.66;25314.25;14234.45;20933.02;60.1;0.56;45448726.02;216032.83;261247.92
2026-01-01 02:45:00;PAC3200-3;254.03;254.03;254.03;440;440;440;27.94;27.94;27.09;25487.63;14331.95;21076.4;60.1;0.56;45462960.47;236965.85;286562.17
2026-01-01 03:00:00;PAC3200-3;251.49;254.03;251.49;435.6;440;435.6;31.17;30.85;30.54;28242.44;15881.01;23354.42;60.1;0.56;45477292.42;258042.25;312049.8
2026-01-01 03:15:00;PAC3200-3;254.03;254.03;254.03;440;440;440;28.48;29.08;28.78;26523.8;14914.6;21933.23;60.1;0.56;45493173.43;281396.67;340292.24
2026-01-01 03:30:00;PAC3200-3;251.49;254.03;254.03;435.6;440;440;33.67;32.65;32.31;30195.67;16979.33;24969.6;60.1;0.56;45508088.03;303329.9;366816.03
2026-01-01 03:45:00;PAC3200-3;254.03;251.49;251.49;440;435.6;435.6;27.66;27.09;27.09;24974.41;14043.36;20652;60.1;0.56;45525067.35;328299.5;397011.7
